Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,170.160004,171.470001,162.690002,163.309998,159.939957,3039200
2019-08-02,162.779999,164.800003,161.330002,163.729996,160.351288,1959100
2019-08-05,160.089996,160.160004,155.020004,157.259995,154.014801,3200700
2019-08-06,159.160004,162.990005,158.559998,161.190002,157.863693,2802100
2019-08-07,157.820007,160.869995,155.229996,160.660004,157.344650,2398700
2019-08-08,162.089996,165.199997,161.509995,164.229996,160.840973,1793300
2019-08-09,163.720001,163.940002,160.419998,162.130005,158.784302,1270200
2019-08-12,161.029999,161.229996,158.410004,158.809998,155.532806,829700
2019-08-13,159.639999,163.600006,157.320007,160.520004,157.207550,1835000
2019-08-14,157.779999,158.039993,154.320007,155.059998,151.860199,1688400
2019-08-15,155.410004,155.490005,151.470001,152.820007,149.666428,1874000
2019-08-16,154.179993,156.910004,153.990005,156.000000,152.780807,1560400
2019-08-19,158.470001,159.240005,157.500000,158.309998,155.043137,1458300
2019-08-20,157.559998,157.970001,155.309998,155.839996,152.624115,1089100
2019-08-21,157.770004,158.800003,157.020004,158.179993,154.915817,1044400
2019-08-22,158.259995,158.990005,155.759995,158.100006,154.837463,1156300
2019-08-23,156.509995,157.190002,151.119995,151.970001,148.833984,2806500
2019-08-26,153.220001,154.729996,151.660004,152.490005,149.343231,1270800
2019-08-27,153.029999,154.110001,148.800003,149.529999,146.444321,1809600
2019-08-28,149.139999,154.449997,147.820007,153.179993,150.018997,2064900
2019-08-29,155.000000,158.490005,154.880005,157.449997,154.200882,1684600
2019-08-30,158.490005,160.309998,158.160004,158.610001,155.336929,1151500
